year,state,type,length,tuition,room_board,total_cost
2013,Alabama,Private,4-year,13983.0,8503.0,22486
2013,Alabama,Public In-State,2-year,4048.0,0.0,4048
2013,Alabama,Public In-State,4-year,8073.0,8473.0,16546
2013,Alabama,Public Out-of-State,2-year,7736.0,0.0,7736
2013,Alabama,Public Out-of-State,4-year,20380.0,8473.0,28853
2013,Alaska,Private,4-year,21496.0,8923.0,30419
2013,Alaska,Public In-State,2-year,3972.0,0.0,3972
2013,Alaska,Public In-State,4-year,6317.0,9098.0,15415
2013,Alaska,Public Out-of-State,2-year,4150.0,0.0,4150
2013,Alaska,Public Out-of-State,4-year,18790.0,9098.0,27888
2013,Arizona,Private,4-year,11650.0,8744.0,20394
2013,Arizona,Public In-State,2-year,1842.0,0.0,1842
2013,Arizona,Public In-State,4-year,9694.0,9370.0,19064
2013,Arizona,Public Out-of-State,2-year,7870.0,0.0,7870
2013,Arizona,Public Out-of-State,4-year,21201.0,9370.0,30571
2013,Arkansas,Private,4-year,18004.0,7263.0,25267
2013,Arkansas,Public In-State,2-year,2633.0,0.0,2633
2013,Arkansas,Public In-State,4-year,6604.0,7331.0,13935
2013,Arkansas,Public Out-of-State,2-year,4605.0,0.0,4605
2013,Arkansas,Public Out-of-State,4-year,15669.0,7331.0,23000
2013,California,Private,4-year,28345.0,12254.0,40599
2013,California,Public In-State,2-year,1225.0,0.0,1225
2013,California,Public In-State,4-year,8892.0,12137.0,21029
2013,California,Public Out-of-State,2-year,6267.0,0.0,6267
2013,California,Public Out-of-State,4-year,30765.0,12137.0,42902
2013,Colorado,Private,4-year,19967.0,10939.0,30906
2013,Colorado,Public In-State,2-year,3004.0,0.0,3004
2013,Colorado,Public In-State,4-year,7656.0,10396.0,18052
2013,Colorado,Public Out-of-State,2-year,8882.0,0.0,8882
2013,Colorado,Public Out-of-State,4-year,25470.0,10396.0,35866
2013,Connecticut,Private,4-year,35336.0,12926.0,48262
2013,Connecticut,Public In-State,2-year,3596.0,0.0,3596
2013,Connecticut,Public In-State,4-year,9517.0,11138.0,20655
2013,Connecticut,Public Out-of-State,2-year,10512.0,0.0,10512
2013,Connecticut,Public Out-of-State,4-year,26688.0,11138.0,37826
2013,Delaware,Private,4-year,12943.0,10758.0,23701
2013,Delaware,Public In-State,2-year,3242.0,0.0,3242
2013,Delaware,Public In-State,4-year,10929.0,11011.0,21940
2013,Delaware,Public Out-of-State,2-year,7562.0,0.0,7562
2013,Delaware,Public Out-of-State,4-year,26228.0,11011.0,37239
2013,District of Columbia,Private,4-year,35524.0,12916.0,48440
2013,District of Columbia,Public In-State,4-year,7244.0,0.0,7244
2013,District of Columbia,Public Out-of-State,4-year,14540.0,0.0,14540
2013,Florida,Private,4-year,20155.0,9968.0,30123
2013,Florida,Public In-State,2-year,2486.0,0.0,2486
2013,Florida,Public In-State,4-year,4377.0,9793.0,14170
2013,Florida,Public Out-of-State,2-year,6889.0,0.0,6889
2013,Florida,Public Out-of-State,4-year,17050.0,9793.0,26843
2013,Georgia,Private,4-year,22456.0,10721.0,33177
2013,Georgia,Public In-State,2-year,2652.0,0.0,2652
2013,Georgia,Public In-State,4-year,6325.0,9005.0,15330
2013,Georgia,Public Out-of-State,2-year,7554.0,0.0,7554
2013,Georgia,Public Out-of-State,4-year,22393.0,9005.0,31398
2013,Hawaii,Private,4-year,14287.0,11522.0,25809
2013,Hawaii,Public In-State,2-year,2484.0,0.0,2484
2013,Hawaii,Public In-State,4-year,7731.0,9256.0,16987
2013,Hawaii,Public Out-of-State,2-year,7166.0,0.0,7166
2013,Hawaii,Public Out-of-State,4-year,23614.0,9256.0,32870
2013,Idaho,Private,4-year,6752.0,4792.0,11544
2013,Idaho,Public In-State,2-year,2915.0,0.0,2915
2013,Idaho,Public In-State,4-year,5980.0,7496.0,13476
2013,Idaho,Public Out-of-State,2-year,7276.0,0.0,7276
2013,Idaho,Public Out-of-State,4-year,17736.0,7496.0,25232
2013,Illinois,Private,4-year,26299.0,10798.0,37097
2013,Illinois,Public In-State,2-year,3192.0,0.0,3192
2013,Illinois,Public In-State,4-year,11882.0,10340.0,22222
2013,Illinois,Public Out-of-State,2-year,9034.0,0.0,9034
2013,Illinois,Public Out-of-State,4-year,26873.0,10340.0,37213
2013,Indiana,Private,4-year,26794.0,9574.0,36368
2013,Indiana,Public In-State,2-year,3455.0,0.0,3455
2013,Indiana,Public In-State,4-year,8269.0,9489.0,17758
2013,Indiana,Public Out-of-State,2-year,7302.0,0.0,7302
2013,Indiana,Public Out-of-State,4-year,26538.0,9489.0,36027
2013,Iowa,Private,4-year,15426.0,6832.0,22258
2013,Iowa,Public In-State,2-year,4099.0,0.0,4099
2013,Iowa,Public In-State,4-year,7832.0,8525.0,16357
2013,Iowa,Public Out-of-State,2-year,5190.0,0.0,5190
2013,Iowa,Public Out-of-State,4-year,23019.0,8525.0,31544
2013,Kansas,Private,4-year,20852.0,7673.0,28525
2013,Kansas,Public In-State,2-year,2621.0,0.0,2621
2013,Kansas,Public In-State,4-year,6970.0,6931.0,13901
2013,Kansas,Public Out-of-State,2-year,4023.0,0.0,4023
2013,Kansas,Public Out-of-State,4-year,17646.0,6931.0,24577
2013,Kentucky,Private,4-year,20639.0,8015.0,28654
2013,Kentucky,Public In-State,2-year,3391.0,0.0,3391
2013,Kentucky,Public In-State,4-year,8416.0,8164.0,16580
2013,Kentucky,Public Out-of-State,2-year,11789.0,0.0,11789
2013,Kentucky,Public Out-of-State,4-year,19040.0,8164.0,27204
2013,Louisiana,Private,4-year,28691.0,10397.0,39088
2013,Louisiana,Public In-State,2-year,2837.0,0.0,2837
2013,Louisiana,Public In-State,4-year,5817.0,8428.0,14245
2013,Louisiana,Public Out-of-State,2-year,5781.0,0.0,5781
2013,Louisiana,Public Out-of-State,4-year,17405.0,8428.0,25833
2013,Maine,Private,4-year,31558.0,11187.0,42745
2013,Maine,Public In-State,2-year,3409.0,0.0,3409
2013,Maine,Public In-State,4-year,9295.0,9381.0,18676
2013,Maine,Public Out-of-State,2-year,6053.0,0.0,6053
2013,Maine,Public Out-of-State,4-year,24397.0,9381.0,33778
2013,Maryland,Private,4-year,32580.0,12238.0,44818
2013,Maryland,Public In-State,2-year,3500.0,0.0,3500
2013,Maryland,Public In-State,4-year,8051.0,10043.0,18094
2013,Maryland,Public Out-of-State,2-year,8355.0,0.0,8355
2013,Maryland,Public Out-of-State,4-year,20199.0,10043.0,30242
2013,Massachusetts,Private,4-year,36795.0,13076.0,49871
2013,Massachusetts,Public In-State,2-year,4186.0,0.0,4186
2013,Massachusetts,Public In-State,4-year,10632.0,10462.0,21094
2013,Massachusetts,Public Out-of-State,2-year,9516.0,0.0,9516
2013,Massachusetts,Public Out-of-State,4-year,24399.0,10462.0,34861
2013,Michigan,Private,4-year,18135.0,8246.0,26381
2013,Michigan,Public In-State,2-year,2736.0,0.0,2736
2013,Michigan,Public In-State,4-year,11027.0,8838.0,19865
2013,Michigan,Public Out-of-State,2-year,5651.0,0.0,5651
2013,Michigan,Public Out-of-State,4-year,31047.0,8838.0,39885
2013,Minnesota,Private,4-year,26499.0,8910.0,35409
2013,Minnesota,Public In-State,2-year,5362.0,0.0,5362
2013,Minnesota,Public In-State,4-year,10291.0,7708.0,17999
2013,Minnesota,Public Out-of-State,2-year,6197.0,0.0,6197
2013,Minnesota,Public Out-of-State,4-year,16313.0,7708.0,24021
2013,Mississippi,Private,4-year,14592.0,6289.0,20881
2013,Mississippi,Public In-State,2-year,2276.0,0.0,2276
2013,Mississippi,Public In-State,4-year,6147.0,7436.0,13583
2013,Mississippi,Public Out-of-State,2-year,4284.0,0.0,4284
2013,Mississippi,Public Out-of-State,4-year,15055.0,7436.0,22491
2013,Missouri,Private,4-year,19020.0,8595.0,27615
2013,Missouri,Public In-State,2-year,2716.0,0.0,2716
2013,Missouri,Public In-State,4-year,7815.0,8421.0,16236
2013,Missouri,Public Out-of-State,2-year,5384.0,0.0,5384
2013,Missouri,Public Out-of-State,4-year,18885.0,8421.0,27306
2013,Montana,Private,4-year,19737.0,7584.0,27321
2013,Montana,Public In-State,2-year,3151.0,0.0,3151
2013,Montana,Public In-State,4-year,6267.0,7306.0,13573
2013,Montana,Public Out-of-State,2-year,8351.0,0.0,8351
2013,Montana,Public Out-of-State,4-year,20164.0,7306.0,27470
2013,Nebraska,Private,4-year,19478.0,7733.0,27211
2013,Nebraska,Public In-State,2-year,2594.0,0.0,2594
